comparison,records_per_condition,reachable_off,reachable_on,common_reachable,off_successes,on_successes,off_isr,on_isr,off_wilson_low,off_wilson_high,on_wilson_low,on_wilson_high,both_success,off_success_on_failure,off_failure_on_success,both_failure,mcnemar_exact_two_sided,reachable_sets_identical
seed_42,35,17,17,17,12,1,0.7058823529411765,0.058823529411764705,0.468664666737861,0.8672020613444361,0.01046013064516424,0.269825452035628,1,11,0,5,0.0009765625,True
seed_43,35,16,16,16,6,3,0.375,0.1875,0.18480982554752806,0.613593529020652,0.06591478773586765,0.4300935986845823,3,3,0,10,0.25,True
seed_44,35,15,15,15,8,2,0.5333333333333333,0.13333333333333333,0.3011663015105079,0.7519077474025355,0.0373604698913593,0.3788249920651624,2,6,0,7,0.03125,True
full_suite,121,55,55,55,33,5,0.6,0.09090909090909091,0.4681256091064502,0.7188169621356643,0.039457573336373924,0.19577736249133978,5,28,0,22,7.450580596923828e-09,True
gemma2_analyst,35,16,16,16,11,1,0.6875,0.0625,0.4440393186673406,0.8583556494803894,0.01111905730833121,0.2832926836802987,1,10,0,5,0.001953125,True
deepseek_generator,35,25,25,25,12,5,0.48,0.2,0.30031003928960015,0.6650178204685269,0.08860454100652487,0.3913133553653824,5,7,0,13,0.015625,True
devstral_generator,35,25,25,25,13,3,0.52,0.12,0.334982179531473,0.6996899607103998,0.04166741357068093,0.2995619218337349,3,10,0,12,0.001953125,True
vec_b_candidate,35,13,17,13,5,1,0.38461538461538464,0.058823529411764705,0.17709446581236818,0.6447751902773146,0.01046013064516424,0.269825452035628,1,4,0,8,0.125,False
